date,header,rating,content,Seat Type,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Value For Money,Recommended,id,Type Of Traveller,Route,Date Flown,Aircraft,Ground Service,Wifi & Connectivity,airline_name,country
2013-10-10,Turkish Airlines customer review,,Dalaman to LHR no problems with the 5 am flight until IST passport control. 1 and 2 had at least 500 people queuing but because I was economy class got barred from business class fast track check so had to push in or miss the 7.55 to LHR. Got to plane with 5 mins to spare got seated and had 3 seats to myself. Just before take off captain announces a big delay and everyone had to get off. He said LHR was fog bound so a 2 hrs delay so back to departure lounge where 3 members of staff proceeded to shout out passenger names to the 200+ passengers so we could retrieve our boarding passes. This was chaos and very unprofessional. 2.5 hr wait then back on the plane where another 150 passengers appeared from nowhere to fill all seats then another 1 hour wait on the tarmac with no explanations before take off - total 3.5 hours delay with no food or drinks. It looks to me that I and the original passengers were held up for 3.5 hours waiting for the plane to fill up.,Economy Class,3,4,3,,2.0,no,27,,,,,,,Turkish Airlines,Turkey
2013-10-13,Turkish Airlines customer review,,TLV to IAH - totally different experience than the outbound trip two weeks earlier. TLV to IST took off 45 minutes late. A group of us (16 people) with a 1 hour IST connection to the IST-IAH flight were assured we will make our flight (as we were earlier told by the agent after buying the ticket). Upon landing in IST we were gathered and made to run across the terminal to our IST-IAH fanlight only to find out someone probably forgot to ask for this flight to be held for us (despite what we were told). The flight was already in the air. Lots of confusion and lack of initiative led to a 3 hours fiasco before we were rescheduled for the next day's flight. We were taken to a hotel (Radisson). Kosher food was not available and food that was provided was poor at best. Next day flight IST to IAH took off 3 hours late while we were sitting in the cabin with no food or drinks (see previous posts - same experience). Food on the return leg was not as good as on the outbound leg. Bottom line - not sure all the above was worth the troubles. I will have to think long and hard before flying with THY again.,Economy Class,4,2,2,3.0,1.0,no,28,,,,,,,Turkish Airlines,Turkey
2013-10-13,Turkish Airlines customer review,7.0,IAH to TLV - great flights on time. Layover in IST too long in this small airport but bearable. They served the signature Turkish Rahat Lokum (Turkish Delight) at IAH to all passengers in the lobby and gate areas. Free alcohol in economy during the flights and very nice crew - talking to customers with respect.,Economy Class,4,4,4,4.0,4.0,yes,29,,,,,,,Turkish Airlines,Turkey
2013-10-15,Turkish Airlines customer review,7.0,Our family of five adults recently traveled from Los Angeles (LAX) to IST to DAR and back. The new lounge in IST is gorgeous! The LAX-IST legs were excellent: comfortable seats attentive staff good food. The IST-DAR legs were only fair: seat controls didn't work staff was less than attentive food was mediocre. But the biggest problem we had was with the online reservation system. Even though I had printouts of the electronic tickets the system kept saying we had not booked and did not allow me to check in. Worse than that the ground personnel had a lot of trouble checking us in. By using the electronic ticket numbers (and not the confirmation code which said our reservations didn't exist) the agent could see our reservation but not check us in or print out boarding passes. Very frustrating! Finally they figured out a work-around and we were able to board.,Business Class,5,5,5,5.0,4.0,yes,30,,,,,,,Turkish Airlines,Turkey
2013-10-15,Turkish Airlines customer review,10.0,I flew Turkish Airlines for the first time recently and was very impressed. I just flew shorter flights between Athens and Istanbul and Izmir and Istanbul but found the cabin crew to be professional and gracious and even on a one hour regional flight still received a meal of a whole grain roll with cheese green lettuce and tomato with some yoghurt as well. After flying United with its deathly pale iceberg lettuce and overcooked food on a long flight it was really refreshing! Maybe I was on the newer planes but they were so clean and with individual screens even on shorter flights. Great experience.,Economy Class,4,4,4,4.0,5.0,yes,31,,,,,,,Turkish Airlines,Turkey
2013-10-15,Turkish Airlines customer review,2.0,Travelled from ISB to IST and return in January 2013. I would never fly TK again to Turkey. I would rather take the middle eastern carriers. The flight lasted 6 hours and there was no IFE. The cabin crew were not too friendly either and they just kept to themselves. Food however was good. Overall a really bad experience. Will not travel with them again unless they improve their service on this route.,Economy Class,3,2,4,,1.0,no,32,,,,,,,Turkish Airlines,Turkey
2013-10-16,Turkish Airlines customer review,5.0,My partner and I flew on TK 1035 from IST-BUD on 20th September 2013. We board and I have the window my partner the middle seat and a very large passenger sits in the aisle. Had to have an extension seat belt and spilled over into my partner's seat. We paid AUD 553 each for the one way trip. I'm only 162cm and I felt squashed.,Economy Class,3,4,4,,2.0,yes,33,,,,,,,Turkish Airlines,Turkey
2013-10-18,Turkish Airlines customer review,8.0,HEL-IST-HEL. I was impressed the short check in both ways the planes boarded left and arrived in time the luggage was quickly delivered (in Istanbul already when reaching the belt). The plane was a new AB321 and clean. A real lunch with beverage was served (with a menu and choice of two dishes). The crew was at the highest adequate (this a clear development point) but not friendly. Name tags for the bag were finished both in Helsinki and Istanbul.,Economy Class,3,3,4,4.0,5.0,yes,34,,,,,,,Turkish Airlines,Turkey
2013-10-18,Turkish Airlines customer review,,My wife and I flew from Istanbul to Abu Dhabi on flight TK 0868 on Thur 17 Oct 2013. It had been a great holiday but the flight out was a real let down. For inexplicable reasons our seats were in a hot zone in the plane and we felt like we were being subjected to some sort of in-flight sauna! We did ask the flight attendant (twice in fact) if she could let the flight engineer know of our discomfort. Nothing changed and our four hour flight was awful (not helped by the fact that my wife already felt under the weather). The staff member to whom we reported the fault appeared genuinely sympathetic but although the rear seats in the plane did get cooler we sweltered the whole trip. I think Turkey's a great place and would like to visit it again - but I will not travel on Turkish airlines again.,Economy Class,1,3,3,4.0,2.0,no,35,,,,,,,Turkish Airlines,Turkey
2013-10-18,Turkish Airlines customer review,4.0,LHR-IST-DAC. LHR-IST in cramped A320 rushed and poor service with cabin crew having very poor English skills. Crew forgot to serve our row and when this was pointed out was shown palm as she was 'busy' and would deal with it when she had time. Finally got meal served 45 minutes later than other passengers. On arrival at Istanbul TK ground staff showed indifference to questions asked about the complimentary 'TourIstanbul' offer for long transits indicating I would have to find out at my own initiative if I could avail it and that they would not be able to provide any advise! Ataturk Airport is busy but has a good selection of duty free and some nice lounges. IST-DAC on leased Meridiana Aircraft. Terrible flight poor service. However flight departed on time and arrived early. I had no in-seat entertainment console/remote as it had been ripped off its place I assume hence was unable to view inflight entertainment - did not miss much it was only 5 channels of not-so-new movies. Cabin crew were lax with security and the service was very poor. TK takes pride in their 'Turkish Hospitality' but I found the hospitality of theirs quite poor to be truthful. I certainly will not be flying with them again. TK is no competition for the likes of EK QR or even BA for that matter.,Economy Class,3,2,4,2.0,3.0,no,36,,,,,,,Turkish Airlines,Turkey
2013-10-18,Turkish Airlines customer review,,My wife and I flew from Istanbul to Abu Dhabi on flight TK 0868 on Thur 17 Oct 2013. It had been a great holiday but the flight out was a real let down. For inexplicable reasons our seats were in a hot zone in the plane and we felt like we were being subjected to some sort of in-flight sauna! We did ask the flight attendant (twice in fact) if she could let the flight engineer know of our discomfort. Nothing changed and our four hour flight was awful (not helped by the fact that my wife already felt under the weather). The staff member to whom we reported the fault appeared genuinely sympathetic but although the rear seats in the plane did get cooler we sweltered the whole trip. I think Turkey's a great place and would like to visit it again - but I will not travel on Turkish airlines again.,Economy Class,1,3,3,4.0,2.0,no,37,,,,,,,Turkish Airlines,Turkey
2013-10-18,Turkish Airlines customer review,8.0,JFK-IST Sep 25. IST-TLV Sep 30. TLV-IST Oct 14. IST-JFK Oct 14. There was not enough leg room. Service was OK. Entertainment system failed twice. Flight crew ignored passengers without seat belts during bumpy ride and during landing. Announcements in English were incomprehensible. Food was excellent! Price was much lower than competition.,Economy Class,1,3,5,4.0,4.0,yes,38,,,,,,,Turkish Airlines,Turkey
2013-10-20,Turkish Airlines customer review,7.0,"GVA-IST-KTM return. Inconsistency is the hallmark of Turkish Airlines. It was very nice to have free drinks a nice dinner and an in-flight movie (screens above the seats) on a 3 hour European flight. However on the next leg to Kathmandu there was no seat-back IFE and when they played the movie you got English in one ear and Turkish in the other. (I would have liked a movie to block out the sound of the 3 infants near my seat.) On the way back there were seat back screens all the way even on the short-haul flight back to Geneva. The food was superb although I never know why airlines flying to majority Hindu countries don't have a vegetarian option and Turkish coffee would have been nice. Cabin attendants don't seem too concerned with safety (I don't think they check to see if seatbelts are done up) and while they may appear unfriendly I think many passengers don't pick up on the Turkish ""long-blink-with-pursed-lips"" facial expression equivalent of a smile. The policy of having one cabin attendant per trolley didn't seem to be too efficient. The two-class configuration on short haul (where one of the cabin attendants is designated as a ""chef"") may actually result in a lower staff-passenger ratio for economy passengers compared to a low-cost carrier where they need to sell. At times the staff seemed a bit overwhelmed Short delay on the Kathmandu flights - not a big deal but no explanation. On some sectors the pilots didn't address the passengers at all and other times they did. Finally the complementary tour of Istanbul for transit passengers (including food) is a nice touch. Clearly Turkish have the right idea they just need to standardise their product.",Economy Class,4,3,5,4.0,4.0,yes,39,,,,,,,Turkish Airlines,Turkey
2013-10-20,Turkish Airlines customer review,8.0,Flew HKG-CDG-HKG Premium Economy Aug/Oct 2013 with a stop in Istanbul. Unfortunately Istanbul - CDG leg was in economy as no Premium available. Both Premium and Economy were miles above most airlines for service comfort and food. The entertainment system was great with plenty of movies and music. Free wifi was a bonus I didn't expect. Definitely want to fly Turkish again.,Premium Economy,5,4,5,4.0,4.0,yes,40,,,,,,,Turkish Airlines,Turkey
2013-10-20,Turkish Airlines customer review,3.0,"London LGW to BKK via IST. Business Class Passenger. LGW-IST sector on older Airbus. Only 2 out of 20 BC passengers. Only BC Toilet out of action. Seat Mechanism did not operate. Could not eject remote control from socket. Food very bland and wine selection poor. LCD screen at alternative seat very faint and could not be adjusted. IST-BKK sector had much new Aircraft but again food quality very ordinary despite one attendant being dressed as ""Chef"" Food was microwaved and very bland. Indifferent staff on both sectors. Got distinct impression that if they liked you you got better service.",Business Class,3,2,1,2.0,3.0,no,41,,,,,,,Turkish Airlines,Turkey
2013-10-22,Turkish Airlines customer review,3.0,I and my husband were traveling from LAX round trip. The travel agent did all booking so I suppose the pricing was fair. From LAX to Istanbul the plane was new and clean although restrooms after 3 hours were dirty until the end of 13 hour long flight. No soap no paper towels to dry wet hands on. Seats were uncomfortable we felt squashed between rows. Food was good. Service was OK. Entertainment was outdated. The air in the cabin was OK. Return from Istanbul to LAX the plane was full. This time we got an old plane seats were extremely uncomfortable food was bad and the air in the cabin was hot and stuffy toilet conditions were awful. Could not sleep a minute. Given a choice I would stay away from Turkish.,Economy Class,1,4,3,2.0,4.0,no,42,,,,,,,Turkish Airlines,Turkey
2013-10-22,Turkish Airlines customer review,,Flew from LGW-IST-DAR-JRO-MBA-IST-LHR all with Turkish. Was disappointed by the size of the seats. The service onboard was quite rude and the quality of the food was poor. I also found the check-in agents quite rude. My IFE was not working with no apology. I would not recommend Turkish Airlines from this experience.,Economy Class,1,1,2,1.0,2.0,no,43,,,,,,,Turkish Airlines,Turkey
2013-10-23,Turkish Airlines customer review,4.0,IST-KUL A330. Flight delayed 1hr 20 mins and arrived 1hr late. Poor room allowance for Economy and poor food. Did not partake of on-board entertainment so cannot judge. Whilst I would recommend Turkish airlines for the GTW-IST leg of my two (separate) legged flight this flight was nowhere near as nice.,Economy Class,1,5,1,3.0,2.0,no,44,,,,,,,Turkish Airlines,Turkey
2013-10-23,Turkish Airlines customer review,4.0,IST-KUL A330. Flight delayed 1hr 20 mins and arrived 1hr late. Poor room allowance for Economy and poor food. Did not partake of on-board entertainment so cannot judge. Whilst I would recommend Turkish airlines for the GTW-IST leg of my two (separate) legged flight this flight was nowhere near as nice.,Economy Class,1,5,1,3.0,2.0,no,45,,,,,,,Turkish Airlines,Turkey
2013-10-29,Turkish Airlines customer review,2.0,London to Dhaka via Istanbul twice in the last month. Usually I have a good experience with Turkish. However this time it was not so great. The London to Istanbul segments were mostly OK with the exception of the last return flight which was one of the most unpleasant flights I have had in a long time. It started with the children from hell in the row behind. The aircraft was an older A321 which had very poor leg room no IFE to speak of and it was too hot. One lady was quite ill because of the heat. The cabin crew refused to do anything despite complaints. I think everyone just wanted to get off so we were not pleased at having to fly around London on hold for half an hour. The Istanbul/Dhaka part is not operated by Turkish but by Meridiana an Italian charter operation. The A330 aircraft are old and do not come close to the normal Turkish standard. The IFE was very limited - no video on demand seats were old and business seats were basic and not worthy of the price. All airlines seem to put their worst and oldest aircraft on the routes into this part of Asia. I have flown with Emirates and Qatar Airways and both do the same. It is unfair as you do not pay any less for the ticket. On the positive side the overcrowding of the business lounge in Istanbul has improved. I did not have to sit on the floor on any of the 3 times I used it.,Economy Class,1,4,4,1.0,2.0,yes,46,,,,,,,Turkish Airlines,Turkey
2013-10-29,Turkish Airlines customer review,,Brutal service experience. IST to LHR. Family of 4 with young children. Seats not assigned together (over rode the Travel Agent request). Staff told me it was my problem. Said I had to negotiate seat moves onboard. Departure gate staff appear to be contracted out so don't really care. Not sure why they are part of Star Alliance as they don't seem to care about Star Alliance patrons either. The experience was only made worse by some flight attendants who didn't seem to care much for courtesy and politeness with passengers. Strongly recommend using an alternative to travel to/from Turkey.,Economy Class,3,1,2,2.0,2.0,no,47,,,,,,,Turkish Airlines,Turkey
2013-10-29,Turkish Airlines customer review,6.0,I flew Turkish a couple of times in the past months and the most conspicuous feature was the seats lacking the adjustable headrest often the lack of the footrest and the lack of personal in-flight entertainment. The food was just sufficient. But the worst was on an international overseas flight of 2 hours where the in-flight entertainment on overhead screens was a football documentary. The staff were as kind and helpful as possible and the overall flight was satisfactory.,Economy Class,3,3,2,1.0,3.0,yes,48,,,,,,,Turkish Airlines,Turkey
2013-10-29,Turkish Airlines customer review,2.0,We travelled TK 1035 IST-BUD on 20 September. I had the window seat my partner the middle and an obese person who needed the extension seat belt was in the aisle. We paid AUD 553 each for the two hour flight (expensive by world standards due to no competition). My partner had the most uncomfortable journey as the obese person was spilling over into his space. Unsafe and uncomfortable. All airlines need to address this disgraceful practice inflicted on passengers who are within a healthy weight range.,Economy Class,3,4,4,,1.0,no,49,,,,,,,Turkish Airlines,Turkey
